time_seconds,value
0.000000,-0.2307589248
0.002000,-0.6148588111
0.004000,-0.0924190212
0.006000,-0.4138894647
0.008000,-0.9387932937
0.010000,-1.0044419669
0.012000,-0.8742366460
0.014000,-0.2250835567
0.016000,0.2632472693
0.018000,0.2285051244
0.020000,0.1948806512
0.022000,-0.1519660563
0.024000,-0.5359910999
0.026000,-0.3938804705
0.028000,-0.7984680744
0.030000,-0.2773120796
0.032000,0.0653202698
0.034000,0.4484185675
0.036000,0.1137687101
0.038000,-0.7671400983
0.040000,0.0750675475
0.042000,0.0859436002
0.044000,-0.1145244144
0.046000,0.2536119553
0.048000,0.2735208019
0.050000,0.5689384174
0.052000,0.6945850364
0.054000,0.4702037223
0.056000,-0.0094763652
0.058000,-0.0334437169
0.060000,-0.6358391740
0.062000,-0.6117852492
0.064000,-0.2901833484
0.066000,0.0892739632
0.068000,0.0131107160
0.070000,0.0114697519
0.072000,-0.2300278755
0.074000,0.0995296375
0.076000,0.2196029339
0.078000,0.2071654780
0.080000,-0.4250356537
0.082000,-0.0644739969
0.084000,-0.2652237186
0.086000,-0.4407360299
0.088000,-0.5300908785
0.090000,-0.4500101569
0.092000,-0.6535432275
0.094000,-0.8120355663
0.096000,-1.1646061406
0.098000,-1.2877740973
0.100000,-0.7951888232
0.102000,-0.8358021216
0.104000,-0.8232688002
0.106000,-0.7908411739
0.108000,-0.2057056300
0.110000,-0.3779023148
0.112000,-0.6952965759
0.114000,-0.7553186412
0.116000,-0.4109879739
0.118000,-0.1170824518
0.120000,0.0896077067
0.122000,0.4053958466
0.124000,0.2486189892
0.126000,0.1300802367
0.128000,-0.0833754844
0.130000,-0.1046910824
0.132000,-0.4159645011
0.134000,0.1909435381
0.136000,0.4711886388
0.138000,0.7798896599
0.140000,0.7478635789
0.142000,1.0040103541
0.144000,0.8815997773
0.146000,0.7460355995
0.148000,1.1156898028
0.150000,1.2464557350
0.152000,1.1030926250
0.154000,1.1526062567
0.156000,0.7669284142
0.158000,0.8959580856
0.160000,1.1561506098
0.162000,1.4723707311
0.164000,0.9487379420
0.166000,0.3802147369
0.168000,-0.2696951306
0.170000,-0.3412706617
0.172000,0.1187220912
0.174000,0.2115621644
0.176000,0.1774280033
0.178000,-0.1478300133
0.180000,0.1140148505
0.182000,0.5611325268
0.184000,0.9820994038
0.186000,0.6142228551
0.188000,0.9592347675
0.190000,0.6001445439
0.192000,0.6697128293
0.194000,0.2054455286
0.196000,0.4151145740
0.198000,0.7935776583
0.200000,0.3465852359
0.202000,0.3755012033
0.204000,0.2204678640
0.206000,0.6025861560
0.208000,0.9110312784
0.210000,0.7804325242
0.212000,0.8498969307
0.214000,1.1379998190
0.216000,1.6560491785
0.218000,0.4914193185
0.220000,0.2426596502
0.222000,-0.5489926303
0.224000,-0.7165599988
0.226000,-0.7374437711
0.228000,-0.7075010452
0.230000,-0.6586611807
0.232000,-0.4135088488
0.234000,-0.2618289769
0.236000,0.2967257983
0.238000,-0.0335081934
0.240000,-0.2270328553
0.242000,-0.2712672910
0.244000,-0.0563618594
0.246000,-0.2593933630
0.248000,-0.6506182490
0.250000,-0.4714038680
0.252000,-0.0107251468
0.254000,0.1152612691
0.256000,-0.6007723275
0.258000,-0.5146135768
0.260000,-0.9210548748
0.262000,-0.8672292704
0.264000,-0.7239259556
0.266000,-1.1788593730
0.268000,-0.5300998618
0.270000,-1.0579831177
0.272000,-1.2990231162
0.274000,-1.3972741050
0.276000,-1.4055571406
0.278000,-0.9088208449
0.280000,-0.8461208947
0.282000,-0.7391212130
0.284000,-0.9866293844
0.286000,-0.3619220206
0.288000,-0.5554434200
0.290000,-0.4947017411
0.292000,-0.4596183758
0.294000,-0.1677906285
0.296000,-0.4144470315
0.298000,-0.9152984226
0.300000,-1.0540792242
0.302000,-1.6135994621
0.304000,-1.2425306277
0.306000,-0.8060587683
0.308000,-0.9596880499
0.310000,-0.5704016518
0.312000,-0.6241469332
0.314000,-0.9136603433
0.316000,0.0657789750
0.318000,0.1792706420
0.320000,0.4241655241
0.322000,0.6807732448
0.324000,1.0993125965
0.326000,0.5960200030
0.328000,0.2501391266
0.330000,0.1063042227
0.332000,0.6675655833
0.334000,0.5588175687
0.336000,0.3021575011
0.338000,0.6117475522
0.340000,0.4182969272
0.342000,0.3717947306
0.344000,0.8486491791
0.346000,0.8394952881
0.348000,0.5685636030
0.350000,0.3456248390
0.352000,0.3138631150
0.354000,0.7083519598
0.356000,0.6919442359
0.358000,0.2079976833
0.360000,1.1532322811
0.362000,0.8842731187
0.364000,-0.3776378596
0.366000,-0.2339882361
0.368000,-0.3643376412
0.370000,-0.8145540060
0.372000,-1.2593116399
0.374000,-1.0633987367
0.376000,-0.8779118622
0.378000,-1.0204161299
0.380000,-1.0728700430
0.382000,-0.8096125903
0.384000,-0.0916111067
0.386000,-0.1875891854
0.388000,0.0425897728
0.390000,0.2295892804
0.392000,0.3045767095
0.394000,0.0655727942
0.396000,0.2761584317
0.398000,0.4678099259
0.400000,0.6078831699
0.402000,1.1404011039
0.404000,0.8474417654
0.406000,0.3827986095
0.408000,0.0460212368
0.410000,-0.0035065273
0.412000,0.2584187475
0.414000,0.1161362443
0.416000,0.0626609906
0.418000,-0.2601707162
0.420000,0.0435846819
0.422000,-0.3434634110
0.424000,-0.3046705208
0.426000,-0.1561726841
0.428000,0.6757160671
0.430000,1.3611669363
0.432000,0.8043177239
0.434000,0.9395485680
0.436000,0.3190477867
0.438000,-0.0280856001
0.440000,-0.3730886923
0.442000,-0.8029697735
0.444000,-1.2062641651
0.446000,-1.1839349717
0.448000,-1.5549648885
0.450000,-1.8413817650
0.452000,-1.1908428022
0.454000,-0.9819779030
0.456000,-0.8728040187
0.458000,-0.5668468131
0.460000,-0.4720556013
0.462000,-0.5594798293
0.464000,0.2239313430
0.466000,0.1603681245
0.468000,0.5779165947
0.470000,0.2614056424
0.472000,0.2533963082
0.474000,0.4663027883
0.476000,0.7124697573
0.478000,0.2108007273
0.480000,0.0475294479
0.482000,-0.3447295768
0.484000,-0.8005100644
0.486000,-1.5160133076
0.488000,-1.5076660014
0.490000,-1.6435540297
0.492000,-1.8235228495
0.494000,-0.5800951661
0.496000,-0.8825436847
0.498000,-0.4424514855
0.500000,-0.1926863636
0.502000,-0.3690309700
0.504000,-0.5888493874
0.506000,-0.3433567296
0.508000,-0.3800604836
0.510000,-0.3402406099
0.512000,-0.1223251342
0.514000,-0.2192156645
0.516000,0.0379971106
0.518000,0.8151984887
0.520000,0.7294605435
0.522000,0.3539464968
0.524000,-0.3584462860
0.526000,-0.4665710117
0.528000,0.0107708396
0.530000,0.1533615465
0.532000,0.1858814415
0.534000,0.3207776007
0.536000,0.1224035696
0.538000,0.5958192446
0.540000,0.5912941288
0.542000,0.3759026188
0.544000,0.0437464988
0.546000,-0.1065231390
0.548000,0.6237237592
0.550000,0.1863398038
0.552000,-0.1394469381
0.554000,0.1069813984
0.556000,-0.0180141612
0.558000,0.5966572818
0.560000,0.1916441095
0.562000,-0.1140198667
0.564000,-0.0395296471
0.566000,0.2559783371
0.568000,0.2592775188
0.570000,0.3621655058
0.572000,-0.1126563295
0.574000,0.2489991550
0.576000,0.4869701633
0.578000,0.8175153630
0.580000,1.3652357402
0.582000,1.3142629919
0.584000,0.8141632251
0.586000,0.8189065935
0.588000,0.5752833902
0.590000,0.6747768650
0.592000,0.6067515949
0.594000,0.1531287001
0.596000,-0.3731208061
0.598000,-0.3469867290
0.600000,-0.5520551623
0.602000,-0.1626175184
0.604000,-0.2135926222
0.606000,-0.4382937041
0.608000,-0.5510696613
0.610000,-0.3778279229
0.612000,0.2407230138
0.614000,0.2687142932
0.616000,0.0629313672
0.618000,0.2675081285
0.620000,-0.1161949337
0.622000,-0.5669552776
0.624000,-0.0387097480
0.626000,0.0594184753
0.628000,0.0001624853
0.630000,-0.3764556663
0.632000,0.1259610097
0.634000,0.5897054809
0.636000,0.9830784315
0.638000,0.6416635117
0.640000,0.7055197352
0.642000,0.2437843658
0.644000,1.0097665484
0.646000,0.9701417672
0.648000,0.8301394409
0.650000,0.7680779379
0.652000,0.1560200705
0.654000,0.0366515980
0.656000,0.7147461423
0.658000,0.5894318434
0.660000,0.2981489175
0.662000,0.0958044178
0.664000,0.1739292992
0.666000,-0.4883698691
0.668000,-0.4577205049
0.670000,-0.8126733172
0.672000,-0.1535622582
0.674000,0.1449843058
0.676000,0.2234916035
0.678000,-0.2466111069
0.680000,-0.3210313328
0.682000,-0.5640830089
0.684000,-0.7495401306
0.686000,-0.7001853966
0.688000,-0.8930347963
0.690000,-0.4706618346
0.692000,-0.2594712614
0.694000,-0.2428280884
0.696000,0.1961482127
0.698000,0.1325517527
0.700000,-0.0656713153
0.702000,0.4644971571
0.704000,0.6817841681
0.706000,0.7026009248
0.708000,0.1904065711
0.710000,0.2759251082
0.712000,-0.0057486827
0.714000,-0.0239691437
0.716000,-0.2143490569
0.718000,-0.0970566839
0.720000,-0.1901169522
0.722000,-0.0082509281
0.724000,-0.0230077671
0.726000,-0.3490307157
0.728000,0.2639251255
0.730000,0.1236423273
0.732000,0.5718037363
0.734000,0.1487819328
0.736000,0.0571793637
0.738000,-0.4741538914
0.740000,0.0004718642
0.742000,-0.0476853170
0.744000,0.3934886795
0.746000,0.3069334759
0.748000,0.4345565725
0.750000,0.4711714447
0.752000,0.4520363019
0.754000,0.5313668956
0.756000,0.3486516428
0.758000,0.6667238782
0.760000,0.6756669583
0.762000,0.7277738174
0.764000,0.5414392203
0.766000,0.1060269763
0.768000,0.2793127313
0.770000,0.3055634682
0.772000,0.4865373511
0.774000,0.2640920747
0.776000,0.2933970225
0.778000,0.2905001973
0.780000,1.0917955385
0.782000,0.4662806426
0.784000,0.1787221000
0.786000,0.6939783432
0.788000,1.3825225001
0.790000,0.7600568904
0.792000,0.3566497127
0.794000,0.7541823701
0.796000,1.0194079951
0.798000,0.4264735472
0.800000,0.6930561658
0.802000,0.2931738601
0.804000,0.7258407255
0.806000,0.7565867988
0.808000,0.4077983348
0.810000,0.2780839199
0.812000,-0.0564025486
0.814000,0.0128688947
0.816000,-0.0175448655
0.818000,-0.3869021403
0.820000,0.0289663654
0.822000,-0.0510354284
0.824000,0.3565258520
0.826000,0.4911062196
0.828000,0.5979154670
0.830000,0.3985652848
0.832000,0.9059144239
0.834000,1.0390560041
0.836000,0.2407873297
0.838000,0.2804892840
0.840000,0.2804480050
0.842000,0.2170470020
0.844000,1.0786200051
0.846000,1.1045812388
0.848000,1.0079284064
0.850000,1.1461028816
0.852000,0.8907259110
0.854000,1.1450570757
0.856000,0.2972962260
0.858000,0.4505983655
0.860000,-0.0285594408
0.862000,0.2287495881
0.864000,0.4352511617
0.866000,0.0395241094
0.868000,0.4724284886
0.870000,0.5535174875
0.872000,0.6199307689
0.874000,0.8157811546
