time_seconds,value
0.000000,-0.1059661026
0.002000,-0.3637935248
0.004000,-0.5255093834
0.006000,0.0638131337
0.008000,-0.1341059469
0.010000,-0.2624358868
0.012000,0.3763170218
0.014000,0.2160183623
0.016000,-0.0233492976
0.018000,0.7323582947
0.020000,0.5138373723
0.022000,0.5771680073
0.024000,0.4161362497
0.026000,0.0124444385
0.028000,0.0403351869
0.030000,0.0739707625
0.032000,-0.0446328481
0.034000,-0.5833486821
0.036000,-0.1301139778
0.038000,0.5361575464
0.040000,0.7291476646
0.042000,-0.0758610941
0.044000,-0.2459469831
0.046000,-0.4607279112
0.048000,0.0671084211
0.050000,0.0049883886
0.052000,-0.4275248309
0.054000,-0.7759427652
0.056000,-0.6882862315
0.058000,-0.4633419016
0.060000,-0.4037917036
0.062000,-0.4951696966
0.064000,-0.2111203973
0.066000,0.5974235539
0.068000,0.5603363176
0.070000,0.5539953299
0.072000,0.8552753593
0.074000,0.6124273263
0.076000,0.5460369193
0.078000,0.3801889253
0.080000,0.2195590361
0.082000,0.5684887962
0.084000,0.1310341536
0.086000,-0.0261527728
0.088000,0.0004812783
0.090000,0.2060544913
0.092000,0.5208554507
0.094000,0.4031171954
0.096000,0.2394822310
0.098000,0.2963196222
0.100000,0.3664894952
0.102000,0.2583672549
0.104000,-0.0203498583
0.106000,0.1901663884
0.108000,-0.0060385368
0.110000,-0.1145514057
0.112000,-0.4033453372
0.114000,0.3048376099
0.116000,-0.2478177132
0.118000,0.2496063671
0.120000,0.5814245646
0.122000,0.2872057182
0.124000,0.2365994045
0.126000,1.1798454430
0.128000,0.6682812549
0.130000,0.7333000076
0.132000,0.8405762678
0.134000,0.2134025781
0.136000,-0.0188028379
0.138000,-0.0241331028
0.140000,-0.2682389513
0.142000,-0.2708261461
0.144000,-0.5267190463
0.146000,-0.2131389575
0.148000,-0.3288392094
0.150000,0.3791404273
0.152000,0.7059701358
0.154000,0.6854871887
0.156000,0.0740161472
0.158000,0.4096357143
0.160000,-0.1551316917
0.162000,0.0589526025
0.164000,-0.0545741203
0.166000,0.0903358891
0.168000,0.2391744478
0.170000,0.4526657334
0.172000,0.3751540454
0.174000,0.6773904110
0.176000,1.1321647394
0.178000,0.3950662695
0.180000,0.3847507492
0.182000,0.7757582239
0.184000,0.7229998181
0.186000,0.4143483332
0.188000,0.4453874908
0.190000,0.9706265461
0.192000,0.8565361654
0.194000,0.7412167346
0.196000,1.1256973112
0.198000,0.9268120163
0.200000,0.8595793174
0.202000,1.0147813680
0.204000,0.4384328328
0.206000,0.1042497645
0.208000,-0.2800408320
0.210000,-0.4646458288
0.212000,-0.5422411271
0.214000,-0.0775349610
0.216000,0.6804824983
0.218000,0.8224331079
0.220000,0.1499922069
0.222000,0.6992271238
0.224000,0.6942961812
0.226000,0.4482639104
0.228000,0.4573281926
0.230000,0.9288890496
0.232000,0.4670553090
0.234000,0.4568413281
0.236000,0.4921973339
0.238000,0.1487250006
0.240000,-0.1900236355
0.242000,-0.4636128501
0.244000,0.1793588805
0.246000,-0.2273273224
0.248000,-0.5137270992
0.250000,-0.4122024410
0.252000,-0.2250063670
0.254000,-0.4763249636
0.256000,0.0595363859
0.258000,-0.4061867938
0.260000,-0.2296991326
0.262000,-0.1753450995
0.264000,-0.1138789514
0.266000,-0.2095235442
0.268000,-0.2560637523
0.270000,0.2279517359
0.272000,0.1338057432
0.274000,-0.4196133777
0.276000,-0.1516495949
0.278000,-0.6003255912
0.280000,-0.3388326123
0.282000,0.1536987909
0.284000,0.6225153923
0.286000,0.4707677302
0.288000,0.3701084585
0.290000,0.3501608896
0.292000,0.6311221760
0.294000,0.3230076316
0.296000,0.5602561156
0.298000,1.0814529476
0.300000,1.1280981322
0.302000,0.8333552384
0.304000,0.5415767704
0.306000,0.7726261937
0.308000,0.8438536666
0.310000,-0.1403818653
0.312000,-0.4814712909
0.314000,-0.6189228420
0.316000,-0.4259978072
0.318000,-0.6314869427
0.320000,-1.1669251414
0.322000,-1.0394879947
0.324000,-0.8316895460
0.326000,-0.7167027801
0.328000,-1.1864486947
0.330000,-1.1600675965
0.332000,-0.4151994649
0.334000,-0.0025827531
0.336000,0.4632765213
0.338000,0.5652886268
0.340000,0.5689433769
0.342000,-0.0387580868
0.344000,-0.1513338339
0.346000,0.1628750664
0.348000,0.6313459990
0.350000,0.1274471079
0.352000,-0.4864446711
0.354000,-0.0977052606
0.356000,0.4365060735
0.358000,0.7242716089
0.360000,0.5095643692
0.362000,-0.1689546402
0.364000,-0.4546578928
0.366000,-0.2187032628
0.368000,-0.4495647751
0.370000,-0.2003410054
0.372000,0.1750618902
0.374000,-0.0558560827
0.376000,-0.1611993050
0.378000,-0.5177379235
0.380000,-0.2960160811
0.382000,-0.3502290360
0.384000,-0.3603543834
0.386000,-0.2390074994
0.388000,-0.9109252187
0.390000,-0.7712325245
0.392000,0.0462246819
0.394000,0.1547438011
0.396000,-0.0135828616
0.398000,-0.0661855087
0.400000,-0.1406236630
0.402000,-0.0488817607
0.404000,0.0552231528
0.406000,-0.2668383873
0.408000,-0.2728699479
0.410000,-0.4689604695
0.412000,-0.4457826667
0.414000,-0.7393212327
0.416000,-1.0316325763
0.418000,-0.8627669238
0.420000,-0.8079242477
0.422000,-0.8291832395
0.424000,-0.4023689901
0.426000,-0.4792404234
0.428000,-0.3658931956
0.430000,-0.5067245158
0.432000,0.0098542760
0.434000,-0.2914401268
0.436000,-0.0265385258
0.438000,-0.2456572723
0.440000,-0.1310383756
0.442000,-0.3612094828
0.444000,-0.1978390750
0.446000,-0.1460000506
0.448000,-0.5318639580
0.450000,-0.1864158379
0.452000,-1.1524637986
0.454000,-0.9946813575
0.456000,-1.0335540688
0.458000,-0.6526487385
0.460000,-0.0264245248
0.462000,-0.3313263324
0.464000,-0.1104527965
0.466000,-0.3180750889
0.468000,-0.6659774315
0.470000,-0.5352802762
0.472000,-0.1180160432
0.474000,-0.1009321223
0.476000,0.0685628338
0.478000,-0.1081390231
0.480000,-0.5746777588
0.482000,-0.0555852365
0.484000,0.0383575968
0.486000,0.7509669997
0.488000,0.1947844052
0.490000,-0.3953020588
0.492000,-0.3175087479
0.494000,-0.4741663113
0.496000,-0.2990787577
0.498000,0.0265604372
0.500000,0.0115310366
0.502000,-0.5789738761
0.504000,-0.2266450027
0.506000,-0.4983491363
0.508000,-0.5666647941
0.510000,0.9436705346
0.512000,0.3265857744
0.514000,-0.1958966585
0.516000,-0.4561549440
0.518000,-0.1424327043
0.520000,0.1377135812
0.522000,-0.1913187842
0.524000,0.1305858027
0.526000,0.1701102186
0.528000,0.3715521313
0.530000,-0.3495965704
0.532000,-0.3202497365
0.534000,-0.1751476416
0.536000,0.2396633738
0.538000,-0.2665471741
0.540000,-0.3167040242
0.542000,-0.2792665230
0.544000,-0.1452362854
0.546000,0.0140532884
0.548000,-0.0405184151
0.550000,-0.7351369112
0.552000,-0.6541097132
0.554000,-0.3544509522
0.556000,-0.3810842844
0.558000,-0.1314125856
0.560000,0.3023808287
0.562000,-0.0262027871
0.564000,-0.1022798458
0.566000,0.0337148274
0.568000,0.2440848306
0.570000,0.1269488662
0.572000,0.2385767693
0.574000,0.2153109743
0.576000,0.2055790694
0.578000,0.3966137144
0.580000,-0.0700327212
0.582000,-0.4120102880
0.584000,-0.2739558441
0.586000,-0.4756293428
0.588000,-0.1292338047
0.590000,-0.8841299181
0.592000,-1.2341026053
0.594000,-0.8849844298
0.596000,-0.6396707971
0.598000,-0.6835283805
0.600000,-0.5423884565
0.602000,0.0807337383
0.604000,0.2281365607
0.606000,-0.4503912713
0.608000,-0.2712660459
0.610000,-0.2409178541
0.612000,0.2828182096
0.614000,-0.1295094658
0.616000,0.1120518536
0.618000,0.2761788809
0.620000,0.6948755288
0.622000,0.5089610583
0.624000,0.2861555719
0.626000,0.8638951066
0.628000,0.8392439565
0.630000,0.8031606885
0.632000,1.1367920612
0.634000,0.6205310267
0.636000,0.3911747406
0.638000,0.5746941060
0.640000,0.0719621965
0.642000,0.1693432725
0.644000,-0.2169765862
0.646000,-0.8947903840
0.648000,-0.4947017915
0.650000,-0.5183171752
0.652000,-0.7883393194
0.654000,-0.3723940516
0.656000,-0.0477904099
0.658000,0.7093358436
0.660000,0.3136423733
0.662000,0.0220960582
0.664000,0.4943647612
0.666000,-0.0787238898
0.668000,0.3450115193
0.670000,0.1051479861
0.672000,0.4336245498
0.674000,0.1140203644
0.676000,0.1870171653
0.678000,0.0714769295
0.680000,0.4744429867
0.682000,0.7566606362
0.684000,0.7067077631
0.686000,0.3890924340
0.688000,-1.0553795548
0.690000,0.0994058364
0.692000,0.0949373266
0.694000,-0.0451483748
0.696000,-0.1559523062
0.698000,-0.2451911952
0.700000,0.1886735629
0.702000,-0.1828304165
0.704000,-0.6038035574
0.706000,-0.6538343340
0.708000,-0.6504932589
0.710000,-0.4349785506
0.712000,-0.2604781177
0.714000,0.3103886251
0.716000,0.4756549587
0.718000,0.4762951647
0.720000,0.7811475003
0.722000,0.5605876128
0.724000,-0.1480137118
0.726000,0.2822039367
0.728000,0.3099240788
0.730000,0.3325224053
0.732000,-0.3808219243
0.734000,0.3957180126
0.736000,0.9045033695
0.738000,0.5473422942
0.740000,0.8125257350
0.742000,0.3467295660
0.744000,0.6968793192
0.746000,0.3655122427
0.748000,0.1740753830
0.750000,-0.7500491647
0.752000,0.0645052782
0.754000,-0.1552426841
0.756000,-0.4335728083
0.758000,0.1273561422
0.760000,-0.1046400464
0.762000,-0.1187592357
0.764000,-0.2838582622
0.766000,0.3093065926
0.768000,1.0492307754
0.770000,0.7667879337
0.772000,0.5047530585
0.774000,-0.0878999189
0.776000,-0.3578618234
0.778000,-0.1946923523
0.780000,-0.1838261564
0.782000,-0.1388924194
0.784000,-0.0246972288
0.786000,0.8677031766
0.788000,0.7778795934
0.790000,0.8122059249
0.792000,0.7952547041
0.794000,0.7308267145
0.796000,0.1854418214
0.798000,0.2344998133
0.800000,0.1934693041
0.802000,0.5579803793
0.804000,0.4018163837
0.806000,0.0451198595
0.808000,-0.1889339113
0.810000,-0.5444419473
0.812000,0.1672280502
0.814000,0.7274534859
0.816000,-0.0673426182
0.818000,0.1330201178
0.820000,-0.0472966469
0.822000,0.0171933420
0.824000,-0.5781865881
0.826000,-0.9162358224
0.828000,-0.5847793140
0.830000,0.0564464254
0.832000,0.2409377168
0.834000,0.2317101272
0.836000,0.8571372087
0.838000,0.8003379335
0.840000,1.2379334555
0.842000,0.8821260756
0.844000,0.4734241777
0.846000,0.3105225711
0.848000,0.4026341674
0.850000,0.8554856871
0.852000,0.8046275381
0.854000,0.8484994045
0.856000,-0.0810554270
0.858000,-0.2144561238
0.860000,-0.1669891147
0.862000,0.2424144960
0.864000,0.2286136758
0.866000,0.2221623576
0.868000,1.0504326327
0.870000,0.3993036404
0.872000,0.5168276377
0.874000,0.5760497133
0.876000,0.1465918966
0.878000,-0.2981133265
0.880000,-0.3673711904
0.882000,0.3009576988
0.884000,0.5426682844
0.886000,-0.0842527717
0.888000,0.0769040749
0.890000,0.3125841067
0.892000,0.3959097487
0.894000,0.2783422201
0.896000,0.3902150779
0.898000,0.5447112552
0.900000,-0.0493211497
0.902000,-0.2276895104
0.904000,0.1906868060
0.906000,0.1381694235
0.908000,0.3186317959
0.910000,0.3014287690
0.912000,-0.0292448404
0.914000,0.0247500985
0.916000,0.1137205942
0.918000,0.6952997749
