time_seconds,value
0.000000,-0.7911305956
0.002000,-0.5737262736
0.004000,-0.5921254759
0.006000,-0.4468816299
0.008000,-1.1479335057
0.010000,-0.4455731589
0.012000,0.6234258077
0.014000,0.5229772512
0.016000,0.6926028108
0.018000,0.8691908284
0.020000,0.2371196654
0.022000,0.1347166286
0.024000,0.5402900539
0.026000,-0.0462797909
0.028000,0.0001851319
0.030000,-0.5901488398
0.032000,0.0400199915
0.034000,-0.2065243377
0.036000,-0.6362702135
0.038000,-0.1877588621
0.040000,0.3346044465
0.042000,0.1521324689
0.044000,0.0336740935
0.046000,-0.0078031207
0.048000,-0.0463152691
0.050000,-0.5238016788
0.052000,0.0216020608
0.054000,0.0382590344
0.056000,0.0249857581
0.058000,-1.1260433370
0.060000,-0.6123713944
0.062000,-0.4543552544
0.064000,-0.6488888977
0.066000,0.3124441576
0.068000,0.5306413054
0.070000,0.6035647788
0.072000,0.2390413390
0.074000,0.6458340271
0.076000,0.2402561365
0.078000,-0.0214504211
0.080000,-0.5785073894
0.082000,-0.1069688531
0.084000,0.0861389134
0.086000,-0.4702390139
0.088000,-0.6697619539
0.090000,-0.5787312443
0.092000,-0.5047958671
0.094000,-0.2939531199
0.096000,-0.2567524090
0.098000,-0.1753842261
0.100000,0.7002384958
0.102000,0.4593287536
0.104000,1.2440989219
0.106000,0.4116995529
0.108000,0.4495443862
0.110000,0.1633901541
0.112000,0.1301181568
0.114000,-0.3593663412
0.116000,0.1294857646
0.118000,0.3497249900
0.120000,0.4871143778
0.122000,0.1802259332
0.124000,0.1490230967
0.126000,-0.4914004398
0.128000,-0.0566246945
0.130000,-0.2112545424
0.132000,-0.0089241990
0.134000,-0.1042397031
0.136000,0.0052584946
0.138000,-0.7685780875
0.140000,-0.4445755935
0.142000,0.0997186262
0.144000,-0.2088119226
0.146000,-0.3255348657
0.148000,-0.8337313534
0.150000,-0.1077664936
0.152000,-0.0372842658
0.154000,-0.1809812639
0.156000,-0.8499089776
0.158000,-0.2725913711
0.160000,-0.9624706177
0.162000,-0.9389178393
0.164000,0.3037519639
0.166000,0.2875429693
0.168000,0.7720441336
0.170000,0.2892508542
0.172000,0.2314366712
0.174000,0.1610697967
0.176000,0.1303366814
0.178000,0.6370366861
0.180000,0.0507405241
0.182000,0.4121137168
0.184000,0.8150167831
0.186000,0.2901628955
0.188000,0.2528891176
0.190000,0.4058953324
0.192000,0.8962315554
0.194000,0.8366123118
0.196000,-0.1791895522
0.198000,-0.0042181201
0.200000,-0.1991096539
0.202000,-0.7385358450
0.204000,-0.4840069402
0.206000,-0.5304023045
0.208000,-0.5289177453
0.210000,-0.8561115349
0.212000,-0.8441212547
0.214000,-1.0706236927
0.216000,-0.0642967931
0.218000,-0.0948237509
0.220000,-0.0287516084
0.222000,-0.0880362689
0.224000,-0.1812312417
0.226000,-0.0647996125
0.228000,-0.1123607956
0.230000,0.0150675593
0.232000,0.2950189872
0.234000,0.7809053436
0.236000,0.2533849230
0.238000,-0.2732147513
0.240000,-0.2024037405
0.242000,-0.6026649146
0.244000,-0.7631784090
0.246000,-0.5051997957
0.248000,-0.5882902766
0.250000,-0.4568131875
0.252000,0.1664349262
0.254000,-0.0494143937
0.256000,-0.1194766491
0.258000,-0.2514781268
0.260000,-0.5306410841
0.262000,-0.5164627164
0.264000,-0.2683868587
0.266000,-0.3704264177
0.268000,-0.5976773275
0.270000,-0.2552721300
0.272000,-0.9614679791
0.274000,-0.6301407921
0.276000,-0.2277253775
0.278000,0.5801584022
0.280000,0.3535657091
0.282000,0.9372360251
0.284000,0.4066463150
0.286000,0.5407317883
0.288000,0.8841414309
0.290000,0.3610958818
0.292000,0.0732600318
0.294000,-0.1514508879
0.296000,0.2043416359
0.298000,0.0051617714
0.300000,0.1632935234
0.302000,0.5197869259
0.304000,0.2926067680
0.306000,0.0053845471
0.308000,0.8407164807
0.310000,0.0893110928
0.312000,0.3325608632
0.314000,0.9372703339
0.316000,0.4319879481
0.318000,0.8024011677
0.320000,0.0868910124
0.322000,-0.2881908974
0.324000,0.2732885137
0.326000,0.8762842552
0.328000,0.6267981425
0.330000,0.4067719452
0.332000,0.3664191867
0.334000,0.7852967770
0.336000,0.9280803223
0.338000,0.8783616673
0.340000,0.5228909969
0.342000,0.3112378336
0.344000,0.5358485327
0.346000,0.4635218406
0.348000,0.4409479080
0.350000,0.5947892552
0.352000,0.1293305199
0.354000,-0.4905733948
0.356000,-0.0131331039
0.358000,-0.8021609373
0.360000,-1.0187629163
0.362000,-0.7756903539
0.364000,-1.0625729455
0.366000,0.3669162778
0.368000,-0.3093539602
0.370000,-0.7906143698
0.372000,-0.7500241849
0.374000,-0.2621892222
0.376000,-0.5602840422
0.378000,-0.5402257538
0.380000,-0.7561009264
0.382000,-1.0223267504
0.384000,-0.5910907123
0.386000,-0.4700245467
0.388000,0.4502353014
0.390000,0.9805889927
0.392000,1.3413692846
0.394000,1.0784199646
0.396000,0.8761163190
0.398000,0.2019378514
0.400000,-0.1767648075
0.402000,0.1118994531
0.404000,0.4282864442
0.406000,-0.0929720247
0.408000,0.3965911336
0.410000,0.4411582623
0.412000,0.1121796907
0.414000,0.0946331476
0.416000,0.0483754880
0.418000,-0.8191965603
0.420000,-0.3637350103
0.422000,-0.2405963881
0.424000,-0.2215707402
0.426000,-0.1471482799
0.428000,-0.2303824732
0.430000,-0.6000460542
0.432000,-0.7277937871
0.434000,-0.5236202264
0.436000,-0.6862125813
0.438000,-0.4098560652
0.440000,-0.2382045592
0.442000,-0.2970241249
0.444000,-0.3010581816
0.446000,0.3196957777
0.448000,-0.2382890379
0.450000,-0.0909586434
0.452000,0.5202631685
0.454000,0.2409123525
0.456000,0.3692398434
0.458000,0.5539754009
0.460000,0.6600519186
0.462000,-0.3939421426
0.464000,-0.7190852571
0.466000,-0.5364901137
0.468000,-1.0664798492
0.470000,-0.0370821365
0.472000,0.6710368534
0.474000,0.0587347886
0.476000,0.5557795766
0.478000,0.7414137048
0.480000,0.6242876117
0.482000,0.4450803894
0.484000,0.0717219364
0.486000,0.1151641975
0.488000,0.1108070231
0.490000,-0.1678921002
0.492000,-0.1981256195
0.494000,0.0217030323
0.496000,0.0593682375
0.498000,-0.2595741904
0.500000,-0.2448373090
0.502000,-0.7523310107
0.504000,-0.9219594125
0.506000,-1.0847698489
0.508000,-0.7136032200
0.510000,-0.2953245075
0.512000,-0.7197064275
0.514000,-0.3097551722
0.516000,-0.8075473296
0.518000,0.0116054748
0.520000,-0.1343211188
0.522000,-0.4991495753
0.524000,-1.2019877088
