time_seconds,value
0.000000,-0.1181874797
0.002000,-0.4204002597
0.004000,-0.8641951004
0.006000,-0.5871208383
0.008000,-0.2589447030
0.010000,0.3245772323
0.012000,0.3341593412
0.014000,0.4595642719
0.016000,-0.0591115940
0.018000,-0.2092475784
0.020000,-0.4421946324
0.022000,-0.7819604608
0.024000,-0.4048836893
0.026000,-0.5249951365
0.028000,-0.3336310042
0.030000,-0.4001129897
0.032000,0.0991542220
0.034000,0.2968522130
0.036000,-0.3489071450
0.038000,-0.8960280629
0.040000,-0.8425248094
0.042000,-0.8409260686
0.044000,-0.4096016208
0.046000,-0.3341728061
0.048000,0.2742932267
0.050000,0.6085696971
0.052000,1.1346860216
0.054000,1.2787680752
0.056000,0.9515423529
0.058000,1.0644066536
0.060000,0.8114006857
0.062000,0.8719883351
0.064000,0.3652628817
0.066000,0.4577024997
0.068000,0.9330535772
0.070000,1.2788013222
0.072000,0.5774342466
0.074000,0.3731317710
0.076000,0.3523833610
0.078000,0.2197876765
0.080000,0.1827139686
0.082000,0.4617903383
0.084000,0.2727837727
0.086000,0.3553895283
0.088000,1.0360519002
0.090000,0.2440691080
0.092000,0.4334705321
0.094000,1.3141891385
0.096000,1.0980899654
0.098000,1.3290927150
0.100000,1.2952396903
0.102000,1.5863111943
0.104000,1.6489349074
0.106000,1.1896374317
0.108000,0.8891562139
0.110000,0.5082091799
0.112000,0.3017159666
0.114000,0.0626168104
0.116000,0.0590965157
0.118000,0.1374580800
0.120000,-0.1455591649
0.122000,0.2133036668
0.124000,0.2206471947
0.126000,0.5448917023
0.128000,0.7373273077
0.130000,0.9858671723
0.132000,1.0490763362
0.134000,0.5394514219
0.136000,0.6627681663
0.138000,0.4272090168
0.140000,-0.0520605804
0.142000,-0.1140529482
0.144000,-0.3400816156
0.146000,-0.3145663959
0.148000,-0.7347753154
0.150000,-1.2009663026
0.152000,-1.5512884929
0.154000,-1.5925549141
0.156000,-1.3093042926
0.158000,-0.8236871062
0.160000,-0.8321285282
0.162000,-0.4332249103
0.164000,-0.0257927418
0.166000,0.1307888533
0.168000,0.9014107728
0.170000,1.0264410692
0.172000,1.8524744264
0.174000,1.4991130384
0.176000,1.4405519216
0.178000,0.9515610874
0.180000,0.5656787571
0.182000,0.2825412226
0.184000,0.4266448719
0.186000,0.1221240117
0.188000,0.5738000392
0.190000,-0.2045316451
0.192000,0.2110886245
0.194000,-0.0419200879
0.196000,-0.0612106872
0.198000,-0.5119432664
0.200000,-0.8311519740
0.202000,-0.6813979673
0.204000,-0.7789698752
0.206000,-0.1657226226
0.208000,-0.6997809009
0.210000,-0.0533500150
0.212000,-0.1309514073
0.214000,0.5456206046
0.216000,0.4955003950
0.218000,-0.5106239786
0.220000,-0.2524176141
0.222000,0.1595190780
0.224000,-0.2006828363
0.226000,0.3069406078
0.228000,0.1823666036
0.230000,0.5600372912
0.232000,1.1648366565
0.234000,1.7995519597
0.236000,1.3612385787
0.238000,1.3253633760
0.240000,1.1609138087
0.242000,0.9045467953
0.244000,1.3998835804
0.246000,0.9237219442
0.248000,0.8036289672
0.250000,0.2955661030
0.252000,1.1154229801
0.254000,1.0711122928
0.256000,0.8259779540
0.258000,0.8777537294
0.260000,0.3520076473
0.262000,0.1501907232
0.264000,0.5850806534
0.266000,0.6677755708
0.268000,0.4090397582
0.270000,1.0006933083
0.272000,0.9569262856
0.274000,0.3409256874
0.276000,0.1378610823
0.278000,0.1121925448
0.280000,-0.5321636054
0.282000,-0.8415241998
0.284000,-0.7367982172
0.286000,-0.5250273169
0.288000,-0.4488540036
0.290000,-0.4528860614
0.292000,-0.1464589437
0.294000,-1.0982801687
0.296000,-0.9651397688
0.298000,-1.4763681269
0.300000,-0.9590268894
0.302000,-0.3027591883
0.304000,-0.5201113375
0.306000,-0.1051694697
0.308000,-0.5804946419
0.310000,-0.5782962189
0.312000,-0.9156688314
0.314000,-0.8412169330
0.316000,-0.8499121230
0.318000,-0.5662608304
0.320000,-0.3858441009
0.322000,0.0796587915
0.324000,0.4115331148
0.326000,0.1713679299
0.328000,-0.3383578988
0.330000,-0.3325231825
0.332000,-0.7835195210
0.334000,-0.2495636053
0.336000,-0.2226844547
0.338000,-0.4191304305
0.340000,-0.3312014884
0.342000,-0.0033202194
0.344000,-0.9406163059
0.346000,-1.4987168610
0.348000,-1.3141001415
0.350000,-0.9703754226
0.352000,-0.3479158835
0.354000,-0.0402416780
0.356000,-0.2161469989
0.358000,-0.5791309174
0.360000,-0.2698354686
0.362000,0.2025854865
0.364000,0.2609294590
0.366000,0.5339685543
0.368000,0.6213588877
0.370000,0.4574306280
0.372000,0.1920187159
0.374000,0.3006168771
0.376000,0.3574289095
0.378000,0.1347411129
0.380000,0.0380810380
0.382000,0.2140200128
0.384000,0.7088757656
0.386000,-0.3029068514
0.388000,-0.2163176924
0.390000,-0.0939310605
0.392000,-0.1430534564
0.394000,-0.7582141828
0.396000,-0.7867480259
0.398000,-0.9389548887
0.400000,-0.3763226272
0.402000,-0.5070457789
0.404000,-0.4216776829
0.406000,-0.2491824853
0.408000,0.1415330151
0.410000,0.3778954656
0.412000,0.0100487937
0.414000,0.0495607544
0.416000,0.4479878745
0.418000,0.7761702914
0.420000,0.3490472434
