time_seconds,value
0.0,-26.32564687499962
0.004,-18.40914296874962
0.008,-28.68843984374962
0.012,-26.37056874999962
0.016,-27.89888906249962
0.02,-30.53267812499962
0.024,-21.82418203124962
0.028,-23.01656484374962
0.032,-30.99508046874962
0.036,-26.76607656249962
0.04,-29.47847890624962
0.044,-28.72115468749962
0.048,-22.44771718749962
0.052,-22.95455312499962
0.056,-18.18648671874962
0.06,-25.03316640624962
0.064,-21.15767812499962
0.068,-27.44381093749962
0.072,-28.87398671874962
0.076,-27.85689687499962
0.08,-29.57027578124962
0.084,-30.79927968749962
0.088,-33.25582265624962
0.092,-26.70845937499962
0.096,-19.77535390624962
0.1,-20.44967031249962
0.104,-15.97799062499962
0.108,-12.49947499999962
0.112,-11.92672109374962
0.116,-12.38131093749962
0.12,-19.86910390624962
0.124,-24.96724843749962
0.128,-24.42037343749962
0.132,-17.97701406249962
0.136,-11.79390859374962
0.14,-11.79634999999962
0.144,-10.12496328124962
0.148,-13.86617421874962
0.152,-11.75289296874962
0.156,-9.06881093749962
0.16,-11.37984609374962
0.164,-9.90865468749962
0.168,-10.78023671874962
0.172,-18.61422109374962
0.176,-20.67037343749962
0.18,-19.25875234374962
0.184,-35.33980703124962
0.188,-32.58541249999962
0.192,-27.98726796874962
0.196,-23.48433828124962
0.2,-21.68404531249962
0.204,-21.34566640624962
0.208,-15.22261953124962
0.212,-11.99508046874962
0.216,-10.13179921874962
0.22,-15.32320546874962
0.224,-17.76412343749962
0.228,-17.49898671874962
0.232,-19.53511953124962
0.236,-17.45748281249962
0.24,-7.71871328124962
0.244,-16.13619374999962
0.248,-14.11031484374962
0.252,-14.34224843749962
0.256,-9.01607656249962
0.26,-16.53072499999962
0.264,-14.74263906249962
0.268,-21.02486562499962
0.272,-20.54781484374962
0.276,-29.33394765624962
0.28,-32.50631093749962
0.284,-25.35445546874962
0.288,-26.92086171874962
0.292,-22.53267812499962
0.296,-18.59859609374962
0.3,-19.39302968749962
0.304,-15.21578359374962
0.308,-19.10396718749962
0.312,-21.06734609374962
0.316,-20.20308828124962
0.32,-15.74703359374962
0.324,-12.57808828124962
0.328,-11.64009999999962
0.332,-8.87301015624962
0.336,-5.98287343749962
0.34,-4.89449453124962
0.344,-4.14449453124962
0.348,-10.91256093749962
0.352,-7.89009999999962
0.356,-2.23629140624962
0.36,-17.21773671874962
0.364,-13.48433828124962
0.368,-9.79879140624962
0.372,-8.65963124999962
0.376,-11.20308828124962
0.38,-13.48433828124962
0.384,-19.70162343749962
0.388,-22.56343984374962
0.392,-27.78902578124962
0.396,-27.57418203124962
0.4,-25.59420156249962
0.404,-24.27047109374962
0.408,-24.45894765624962
0.412,-21.77486562499962
0.416,-15.20552968749962
0.42,-13.48531484374962
0.424,-21.08980703124962
0.428,-15.27681874999962
0.432,-17.16011953124962
0.436,-11.47457265624962
0.44,-6.16304921874962
0.444,-1.5053343749996202
0.448,-7.02974843749962
0.452,-2.77974843749962
0.456,2.72952890625038
0.46,-4.39986562499962
0.464,-5.73531484374962
0.468,-10.21138906249962
0.472,-15.48922109374962
0.476,-13.28414296874962
0.48,-25.18648671874962
0.484,-28.46383046874962
0.488,-20.70552968749962
0.492,-30.71968984374962
0.496,-30.32271718749962
0.5,-28.36422109374962
0.504,-25.25289296874962
0.508,-24.13472890624962
0.512,-20.31392812499962
0.516,-28.37398671874962
0.52,-23.54634999999962
0.524,-18.71871328124962
0.528,-13.16793203124962
0.532,-7.87984609374962
0.536,-0.7694945312496202
0.54,-4.90865468749962
0.544,4.80081796875038
0.548,4.22366953125038
0.552,0.4961304687503798
0.556,-3.47310781249962
0.56,-10.18111562499962
0.564,-20.30074453124962
0.568,-23.32271718749962
0.572,-25.19625234374962
0.576,-19.64400624999962
0.58,-19.24068593749962
0.584,-22.12447499999962
0.588,-20.78023671874962
0.592,-21.01851796874962
0.596,-28.48140859374962
0.6,-29.25191640624962
0.604,-34.44136953124962
0.608,-29.48970937499962
0.612,-36.11177968749962
0.616,-31.61422109374962
0.62,-22.49849843749962
0.624,-19.33590078124962
0.628,-18.94429921874962
0.632,-26.79879140624962
0.636,-24.01314687499962
0.64,-38.15035390624962
0.644,-35.04537343749962
0.648,-32.10982656249962
0.652,-39.34615468749962
0.656,-35.35347890624962
0.66,-33.38472890624962
0.664,-29.08345937499962
0.668,-35.29000234374962
0.672,-23.55953359374962
0.676,-17.66207265624962
0.68,-15.93453359374962
0.684,-13.09713124999962
0.688,-10.33541249999962
0.692,-15.20211171874962
0.696,-7.89351796874962
0.7,-8.52926015624962
0.704,-16.31148671874962
0.708,-24.65474843749962
0.712,-17.34029531249962
0.716,-31.48043203124962
0.72,-35.59127187499962
0.724,-29.61519765624962
0.728,-29.64693593749962
0.732,-29.70894765624962
0.736,-34.07906484374962
0.74,-28.00826406249962
0.744,-28.63424062499962
0.748,-27.68306874999962
0.752,-18.80953359374962
0.756,-16.94722890624962
0.76,-11.98336171874962
0.764,-23.58980703124962
0.768,-15.14449453124962
0.772,-14.25045156249962
0.776,-7.61470937499962
0.78,-9.73433828124962
0.784,-10.22506093749962
0.788,-15.36763906249962
0.792,-21.71968984374962
0.796,-17.61275624999962
0.8,-18.96578359374962
0.804,-23.60543203124962
0.808,-22.31002187499962
0.812,-17.56978749999962
0.816,-14.94625234374962
0.82,-11.83345937499962
0.824,-18.22896718749962
0.828,-6.84761953124962
0.832,-23.24361562499962
0.836,-19.42281484374962
0.84,-27.22457265624962
0.844,-27.44332265624962
0.848,-30.99019765624962
0.852,-32.32759999999962
0.856,-32.37447499999962
0.86,-31.29830312499962
0.864,-27.34371328124962
0.868,-26.28707265624962
0.872,-15.41890859374962
0.876,-18.76168203124962
0.88,-6.33199453124962
0.884,-8.52535390624962
0.888,-12.87886953124962
0.892,-14.84468984374962
0.896,-10.53023671874962
0.9,-8.56148671874962
0.904,-6.54244374999962
0.908,-5.42867421874962
0.912,-6.06539296874962
0.916,-5.32711171874962
0.92,-5.17183828124962
0.924,-7.70113515624962
0.928,-16.68404531249962
0.932,-17.73726796874962
0.936,-19.52828359374962
0.94,-16.99263906249962
0.944,-15.87301015624962
0.948,-13.32515859374962
0.952,-23.92134999999962
0.956,-25.15328359374962
0.96,-26.55465078124962
0.964,-22.02291249999962
0.968,-20.45748281249962
0.972,-22.11568593749962
0.976,-20.93160390624962
0.98,-11.77779531249962
0.984,-12.36763906249962
0.988,-9.73629140624962
0.992,-6.92086171874962
0.996,-2.09615468749962
1.0,-6.45894765624962
1.004,-1.6879515624996202
1.008,-3.35445546874962
1.012,-5.13131093749962
1.016,1.7534546875003798
1.02,-6.10738515624962
1.024,-9.75582265624962
1.028,2.04105234375038
1.032,-9.21822499999962
1.036,-4.98482656249962
1.04,-5.05611562499962
1.044,-13.14254140624962
1.048,-16.81002187499962
1.052,-16.56490468749962
1.056,-11.11226796874962
1.06,-14.40670156249962
1.064,-22.92769765624962
1.068,-26.96334218749962
1.072,-26.79390859374962
1.076,-35.33785390624962
1.08,-24.77242421874962
1.084,-26.48629140624962
1.088,-25.98824453124962
1.092,-18.43355703124962
1.096,-7.29634999999962
1.1,-8.35689687499962
1.104,4.89505625000038
1.108,-8.83101796874962
1.112,-3.14547109374962
1.116,0.7930054687503798
1.12,-0.0741820312496202
1.124,-8.26998281249962
1.128,-5.16842031249962
1.132,-3.15426015624962
1.136,-10.62935781249962
1.14,-16.65523671874962
1.144,-16.88179921874962
1.148,-16.83199453124962
1.152,-19.44088124999962
1.156,-22.38668203124962
1.16,-17.53658437499962
1.164,-18.86275624999962
1.168,-22.63424062499962
1.172,-20.35640859374962
1.176,-26.29976796874962
1.18,-20.63814687499962
1.184,-25.60836171874962
1.188,-18.61910390624962
1.192,-21.18111562499962
